Date,Open,High,Low,Close,Adj Close,Volume
2018-08-23,7.340507,7.409685,7.286703,7.302075,6.926535,910050
2018-08-24,7.302075,7.425058,7.232898,7.417371,7.035901,1052769
2018-08-27,7.440430,7.586472,7.401998,7.571099,7.181723,1103508
2018-08-28,7.532667,7.609531,7.517294,7.594158,7.203596,677040
2018-08-29,7.609531,7.801691,7.532667,7.778632,7.378584,1115738
2018-08-30,7.809377,7.832437,7.501922,7.509608,7.123394,2334645
2018-08-31,9.146810,10.791699,8.993082,10.784012,10.229398,33367398
2018-09-04,10.837817,11.568025,10.392006,11.122214,10.550207,14688160
2018-09-05,10.922367,11.437356,10.876249,11.083782,10.513752,5223905
2018-09-06,11.083782,11.606457,11.014604,11.214450,10.637699,3039136
2018-09-07,11.252882,11.560338,11.137586,11.291314,10.710611,2328270
2018-09-10,11.345119,11.529593,11.222137,11.360492,10.776231,1909218
2018-09-11,11.375865,11.560338,11.245196,11.445042,10.856432,1184170
2018-09-12,11.437356,11.975404,11.368178,11.821676,11.213696,2507027
2018-09-13,11.790930,11.867794,11.660261,11.698693,11.097038,1388557
2018-09-14,11.714066,11.929285,11.683321,11.790930,11.184532,1071894
2018-09-17,11.760184,12.075327,11.729439,12.021522,11.403263,1731501
2018-09-18,12.021522,12.136818,11.860108,11.998463,11.381392,1555736
2018-09-19,11.998463,12.259800,11.998463,12.059954,11.439718,1277062
2018-09-20,12.152191,12.236741,12.029208,12.075327,11.454302,903024
2018-09-21,12.182936,12.213682,12.044581,12.106072,11.483466,1773653
2018-09-24,12.113759,12.167563,11.437356,11.683321,11.082456,1933676
2018-09-25,11.675634,12.044581,11.498847,11.883167,11.272024,1587480
2018-09-26,11.875480,12.029208,11.737125,11.875480,11.264733,795041
2018-09-27,11.875480,12.090699,11.821676,11.913912,11.301189,981605
2018-09-28,11.875480,11.990776,11.821676,11.936972,11.323061,859180
2018-10-01,11.936972,12.036895,11.260569,11.398924,10.812687,1887881
2018-10-02,11.306687,11.437356,11.014604,11.160646,10.586662,2103327
2018-10-03,11.114527,11.183705,10.661030,11.091468,10.521041,2323976
2018-10-04,11.060723,11.498847,10.991545,11.268255,10.688738,1553784
2018-10-05,11.252882,11.368178,11.099154,11.229823,10.652282,893917
2018-10-08,11.183705,11.322060,10.991545,11.045350,10.477297,1015691
2018-10-09,11.006918,11.398924,11.006918,11.222137,10.644992,1359935
2018-10-10,11.176018,11.306687,10.883935,11.006918,10.440841,1181048
2018-10-11,10.822444,11.337433,10.807071,10.960799,10.397094,1245187
2018-10-12,11.129900,11.329746,10.976172,11.245196,10.666865,1267955
2018-10-15,11.206764,11.375865,11.022291,11.176018,10.601244,1111574
2018-10-16,11.214450,11.491161,11.152959,11.429669,10.841851,829257
2018-10-17,11.398924,11.452729,11.045350,11.199078,10.623117,1082302
2018-10-18,11.145273,11.176018,10.276710,10.914681,10.353350,1942523
2018-10-19,10.899308,10.899308,10.415065,10.691776,10.141907,1241414
2018-10-22,10.722521,10.876249,10.645657,10.691776,10.141907,1288901
2018-10-23,10.568793,10.860876,10.491929,10.768640,10.214816,987069
2018-10-24,10.768640,10.983859,10.722521,10.730208,10.178360,877785
2018-10-25,10.745580,10.999231,10.661030,10.899308,10.338764,836413
2018-10-26,10.837817,11.014604,10.599539,10.791699,10.236691,1139286
2018-10-29,10.891622,11.114527,10.345888,10.468870,9.930465,1471561
2018-10-30,10.507302,11.106841,10.422752,11.053036,10.484587,1346145
2018-10-31,11.099154,11.145273,9.661799,10.514988,9.974211,2166816
2018-11-01,9.692544,10.868563,9.646426,10.599539,10.054412,2317992
2018-11-02,10.591852,10.753267,10.276710,10.392006,9.857553,2229003
2018-11-05,10.368947,10.937740,10.061491,10.061491,9.544036,3032631
2018-11-06,10.138355,10.737894,10.138355,10.530361,9.988792,1579934
2018-11-07,10.630284,10.768640,10.453497,10.622598,10.076286,900552
2018-11-08,10.607225,10.645657,10.399693,10.453497,9.915883,910180
2018-11-09,10.438125,10.484243,10.192160,10.392006,9.857553,616154
2018-11-12,10.376633,10.568793,10.253651,10.430438,9.894008,611730
2018-11-13,10.438125,10.745580,10.392006,10.453497,9.915883,852415
2018-11-14,10.468870,10.730208,10.415065,10.561107,10.017956,772013
2018-11-15,10.530361,10.830131,10.399693,10.745580,10.192942,859701
2018-11-16,10.661030,10.707148,10.230592,10.430438,9.894008,1076838
2018-11-19,10.407379,10.407379,10.115296,10.153728,9.631528,782031
2018-11-20,10.122982,10.338201,9.992314,10.138355,9.616947,854367
2018-11-21,10.169101,10.407379,10.153728,10.322829,9.791935,683676
2018-11-23,10.284397,10.376633,10.084550,10.184473,9.660694,337740
2018-11-26,10.238278,10.322829,10.038432,10.207533,9.682570,779689
2018-11-27,10.192160,10.207533,9.823213,9.907763,9.398212,825745
2018-11-28,9.869331,10.030746,9.584935,9.815527,9.310723,1094401
2018-11-29,9.777095,9.777095,9.308224,9.377402,8.895130,1181308
2018-11-30,9.331284,9.477325,9.169869,9.362029,8.880546,1189244
2018-12-03,9.623367,9.623367,9.154497,9.400461,8.917002,1633406
2018-12-04,9.315911,9.523444,9.046887,9.085319,8.618066,1288250
2018-12-06,9.085319,9.415834,8.839354,9.385088,8.902422,2309795
2018-12-07,10.899308,11.775557,10.545734,10.830131,10.273147,7806911
2018-12-10,10.830131,10.891622,10.361261,10.399693,9.864845,2712715
2018-12-11,10.445811,10.461184,9.976941,10.192160,9.667985,1628462
2018-12-12,10.245965,10.322829,10.000000,10.015373,9.500290,1015691
2018-12-13,10.061491,10.238278,9.800154,9.815527,9.310723,1549101
2018-12-14,9.807840,10.000000,9.715603,9.784781,9.281556,1105590
2018-12-17,9.738663,10.122982,9.692544,9.730976,9.230519,1076838
2018-12-18,9.777095,9.930822,9.669485,9.754035,9.252394,680813
2018-12-19,9.746349,9.984627,9.592621,9.761722,9.259685,1443069
2018-12-20,9.761722,9.961568,9.623367,9.684858,9.186773,957666
2018-12-21,9.715603,9.900077,9.554189,9.607994,9.113863,2081470
2018-12-24,9.569562,9.615680,9.369716,9.438893,8.953457,578034
2018-12-26,9.500384,9.654112,9.408148,9.607994,9.113863,708525
2018-12-27,9.538816,9.623367,9.277479,9.623367,9.128446,759003
2018-12-28,9.600307,9.869331,9.300538,9.684858,9.186773,1008926
2018-12-31,9.800154,9.884704,9.607994,9.884704,9.376342,713599
2019-01-02,9.754035,10.199846,9.661799,10.030746,9.514873,886632
2019-01-03,10.000000,10.153728,9.923136,9.992314,9.478417,817028
2019-01-04,10.038432,10.092237,9.723290,9.969254,9.456543,866336
2019-01-07,9.961568,10.253651,9.861645,10.122982,9.602365,787105
2019-01-08,10.184473,10.407379,10.084550,10.353574,9.821096,932427
2019-01-09,10.353574,10.407379,10.122982,10.345888,9.813807,425817
2019-01-10,10.261337,10.338201,10.122982,10.292083,9.762769,369354
2019-01-11,10.261337,10.468870,10.192160,10.438125,9.901299,652972
2019-01-14,10.407379,10.545734,10.330515,10.345888,9.813807,470312
2019-01-15,10.222905,10.361261,10.153728,10.230592,9.704439,388869
2019-01-16,10.230592,10.376633,10.146042,10.315142,9.784641,483452
2019-01-17,10.315142,10.453497,10.138355,10.245965,9.719024,473954
2019-01-18,10.261337,10.476556,10.199846,10.253651,9.726313,559820
2019-01-22,10.238278,10.338201,10.023059,10.076864,9.558619,432192
2019-01-23,10.099923,10.207533,9.584935,9.792467,9.288847,1318303
2019-01-24,9.715603,9.761722,9.277479,9.362029,8.880546,1480018
2019-01-25,9.385088,9.515757,9.208301,9.292852,8.814929,611210
2019-01-28,9.262106,9.362029,9.154497,9.239047,8.763888,636579
2019-01-29,9.215988,9.300538,9.069946,9.100692,8.632649,711777
2019-01-30,9.116065,9.346656,8.931591,9.223674,8.749307,748595
2019-01-31,9.223674,9.354343,9.031514,9.277479,8.800344,601192
2019-02-01,9.285165,9.300538,9.085319,9.262106,8.785764,826395
2019-02-04,9.246733,9.362029,9.208301,9.292852,8.814929,995785
2019-02-05,9.331284,9.938509,9.285165,9.907763,9.398212,1366180
2019-02-06,9.892390,9.923136,9.584935,9.623367,9.128446,712558
2019-02-07,9.600307,9.677171,9.292852,9.446580,8.960750,601582
2019-02-08,9.454266,9.469639,9.215988,9.262106,8.785764,469921
2019-02-11,9.277479,9.423520,9.231360,9.315911,8.836801,303523
2019-02-12,9.354343,9.538816,9.346656,9.461952,8.975332,401489
2019-02-13,9.477325,9.554189,9.369716,9.415834,8.931584,303784
2019-02-14,9.415834,9.623367,9.315911,9.500384,9.011788,367663
2019-02-15,9.523444,9.830899,9.515757,9.730976,9.230519,599501
2019-02-19,9.730976,9.946195,9.692544,9.884704,9.376342,693823
2019-02-20,9.892390,10.038432,9.807840,9.907763,9.398212,494120
2019-02-21,9.915450,9.984627,9.715603,9.792467,9.288847,672487
2019-02-22,9.823213,9.892390,9.761722,9.853958,9.347177,406953
2019-02-25,9.892390,9.961568,9.654112,9.661799,9.164900,745213
2019-02-26,9.669485,9.853958,9.561875,9.631053,9.135736,851374
2019-02-27,9.615680,9.853958,9.531130,9.838586,9.332595,762386
2019-02-28,9.838586,9.953882,9.623367,9.646426,9.150318,509602
2019-03-01,9.730976,9.984627,9.669485,9.961568,9.449253,670015
2019-03-04,9.961568,9.969254,9.016141,9.023828,8.559738,1510461
2019-03-05,9.069946,9.116065,8.724058,8.754804,8.304551,1128487
2019-03-06,8.754804,8.777863,8.516526,8.585703,8.144146,876224
2019-03-07,8.578017,8.785550,8.416603,8.739431,8.289970,1544938
2019-03-08,8.124520,8.316679,7.655650,7.655650,7.261926,2805216
2019-03-11,7.724827,7.724827,7.171407,7.417371,7.035901,3041608
2019-03-12,7.440430,7.586472,7.309762,7.363566,6.984864,1441248
2019-03-13,7.302075,7.371253,7.148347,7.194466,6.824461,1604523
2019-03-14,7.186779,7.494235,7.125288,7.186779,6.817169,2351818
2019-03-15,7.302075,7.448117,7.294389,7.448117,7.065065,3519335
2019-03-18,7.478862,7.732513,7.279016,7.355880,6.977572,1218256
2019-03-19,7.409685,7.578786,7.317448,7.440430,7.057775,1342242
2019-03-20,7.448117,7.540354,7.225211,7.309762,6.933826,681724
2019-03-21,7.325135,7.401998,7.194466,7.248271,6.875498,1043272
2019-03-22,7.240584,7.325135,7.102229,7.156034,6.788004,1111835
2019-03-25,7.186779,7.394312,7.132975,7.340507,6.962991,1249611
2019-03-26,7.417371,7.448117,7.202152,7.286703,6.911953,1137594
2019-03-27,7.286703,7.386626,7.217525,7.309762,6.933826,415409
2019-03-28,7.317448,7.401998,7.202152,7.263643,6.890079,540826
2019-03-29,7.271330,7.332821,7.179093,7.179093,6.809878,614072
2019-04-01,7.186779,7.240584,6.986933,7.109915,6.744257,1395323
2019-04-02,7.109915,7.156034,7.002306,7.048424,6.685929,599241
2019-04-03,7.094543,7.202152,6.940815,7.186779,6.817169,2246046
2019-04-04,7.163720,7.486549,7.163720,7.378939,6.999445,951551
2019-04-05,7.394312,7.486549,7.371253,7.478862,7.094230,2110092
2019-04-08,7.486549,7.594158,7.317448,7.401998,7.021320,785414
2019-04-09,7.355880,7.409685,7.271330,7.317448,6.941117,1481969
2019-04-10,7.325135,7.463490,7.317448,7.448117,7.065065,612641
2019-04-11,7.455803,7.594158,7.440430,7.517294,7.130684,944136
2019-04-12,7.586472,7.640277,7.378939,7.432744,7.050484,636319
2019-04-15,7.455803,7.532667,7.371253,7.371253,6.992156,463937
2019-04-16,7.394312,7.448117,7.255957,7.340507,6.962991,812084
2019-04-17,7.363566,7.555726,7.340507,7.494235,7.108812,1135123
2019-04-18,7.478862,7.617218,7.440430,7.494235,7.108812,1671265
2019-04-22,7.478862,7.586472,7.325135,7.417371,7.035901,772144
2019-04-23,7.401998,7.578786,7.332821,7.509608,7.123394,851114
2019-04-24,7.501922,7.640277,7.463490,7.548040,7.159850,787756
2019-04-25,7.548040,7.663336,7.425058,7.578786,7.189014,1202384
2019-04-26,7.578786,7.701768,7.517294,7.663336,7.269216,1501874
2019-04-29,7.663336,7.686395,7.471176,7.578786,7.189014,1144880
2019-04-30,7.578786,7.601845,7.486549,7.571099,7.181723,1853405
2019-05-01,7.548040,7.617218,7.486549,7.555726,7.167141,893917
2019-05-02,7.524981,7.678709,7.409685,7.548040,7.159850,1132781
2019-05-03,7.555726,7.624904,7.425058,7.571099,7.181723,985377
2019-05-06,7.509608,7.609531,7.463490,7.578786,7.189014,464977
2019-05-07,7.532667,7.586472,7.494235,7.571099,7.181723,717762
2019-05-08,7.548040,7.586472,7.209839,7.225211,6.853624,723746
2019-05-09,7.232898,7.263643,7.017679,7.240584,6.868206,734024
2019-05-10,7.232898,7.255957,7.117602,7.186779,6.817169,1168688
2019-05-13,7.109915,7.209839,7.009992,7.163720,6.795295,712558
2019-05-14,7.171407,7.263643,7.086856,7.255957,6.882789,718412
2019-05-15,7.232898,7.240584,7.086856,7.186779,6.817169,361028
2019-05-16,7.186779,7.371253,7.171407,7.217525,6.846334,396675
2019-05-17,7.217525,7.248271,7.056111,7.079170,6.715093,882598
2019-05-20,7.086856,7.117602,6.948501,6.963874,6.605728,604835
2019-05-21,7.002306,7.002306,6.779400,6.817832,6.467196,899772
2019-05-22,6.817832,6.963874,6.810146,6.863951,6.510943,1255855
2019-05-23,6.856264,7.156034,6.856264,7.048424,6.685929,1045354
2019-05-24,7.063797,7.163720,6.794773,6.925442,6.569272,1131610
2019-05-28,6.925442,6.994620,6.794773,6.810146,6.459905,591305
2019-05-29,6.702537,6.810146,6.548809,6.648732,6.306793,1463235
2019-05-30,6.664105,6.740968,6.602613,6.641045,6.299501,424386
2019-05-31,6.587241,6.641045,6.433513,6.448885,6.117224,477467
2019-06-03,6.433513,6.456572,6.295158,6.425826,6.095351,639051
2019-06-04,6.479631,6.594927,6.410453,6.471945,6.139099,1228274
2019-06-05,6.495004,6.525749,6.395081,6.418140,6.088060,939842
2019-06-06,6.425826,6.533436,6.341276,6.479631,6.146388,690050
2019-06-07,6.479631,6.502690,6.341276,6.410453,6.080768,482801
2019-06-10,6.425826,6.641045,6.425826,6.541122,6.204718,904325
2019-06-11,6.579554,6.648732,6.425826,6.518063,6.182843,728560
2019-06-12,6.510377,6.602613,6.495004,6.525749,6.190135,346586
2019-06-13,6.533436,6.887010,6.533436,6.863951,6.510943,1045484
2019-06-14,6.910069,6.979247,6.848578,6.940815,6.583854,817939
2019-06-17,6.971560,7.033051,6.794773,6.933128,6.576563,940233
2019-06-18,6.948501,7.056111,6.887010,6.948501,6.591145,897950
2019-06-19,6.963874,7.079170,6.848578,7.025365,6.664055,2355461
2019-06-20,7.717141,7.724827,7.048424,7.255957,6.882789,3993550
2019-06-21,7.217525,7.217525,6.856264,6.925442,6.569272,3529353
2019-06-24,6.910069,7.148347,6.856264,6.902383,6.547399,1500964
2019-06-25,6.871637,6.902383,6.448885,6.448885,6.117224,1502135
2019-06-26,6.456572,6.510377,6.302844,6.310530,5.985984,1237251
2019-06-27,6.372022,6.495004,6.318217,6.410453,6.080768,958056
2019-06-28,6.456572,6.933128,6.456572,6.925442,6.569272,1810081
2019-07-01,6.925442,6.986933,6.810146,6.917756,6.561981,996436
2019-07-02,6.948501,7.102229,6.879324,6.963874,6.605728,999038
2019-07-03,6.956188,7.071483,6.887010,7.056111,6.693221,409034
2019-07-05,7.002306,7.079170,6.879324,6.994620,6.634892,584539
2019-07-08,6.948501,7.002306,6.910069,6.925442,6.569272,484883
2019-07-09,6.902383,6.940815,6.787087,6.940815,6.583854,1065649
2019-07-10,6.940815,7.094543,6.925442,7.048424,6.685929,615503
2019-07-11,7.025365,7.079170,6.917756,6.963874,6.605728,576603
2019-07-12,7.002306,7.063797,6.956188,7.009992,6.649474,412027
2019-07-15,7.048424,7.194466,6.986933,7.163720,6.795295,734675
2019-07-16,7.117602,7.409685,7.109915,7.317448,6.941117,764858
2019-07-17,7.294389,7.363566,7.209839,7.302075,6.926535,713599
2019-07-18,7.263643,7.340507,7.225211,7.302075,6.926535,491778
2019-07-19,7.271330,7.325135,7.156034,7.217525,6.846334,438697
2019-07-22,7.279016,7.294389,7.148347,7.202152,6.831750,696946
2019-07-23,7.217525,7.294389,7.179093,7.248271,6.875498,374818
2019-07-24,7.232898,7.286703,7.148347,7.279016,6.904662,524173
2019-07-25,7.248271,7.317448,7.140661,7.156034,6.788004,461335
2019-07-26,7.156034,7.209839,7.086856,7.194466,6.824461,412287
2019-07-29,7.179093,7.317448,7.094543,7.140661,6.773421,486054
2019-07-30,7.117602,7.271330,7.017679,7.255957,6.882789,612381
2019-07-31,7.263643,7.571099,7.263643,7.409685,7.028611,1051989
2019-08-01,7.355880,7.355880,6.771714,6.771714,6.423450,1002551
2019-08-02,6.787087,6.856264,6.541122,6.641045,6.299501,857879
2019-08-05,6.917756,7.140661,6.633359,6.787087,6.438032,1289031
2019-08-06,6.848578,7.002306,6.579554,6.664105,6.321374,624610
2019-08-07,6.610300,6.641045,6.348962,6.418140,6.088060,683155
2019-08-08,6.441199,6.617986,6.341276,6.594927,6.255755,667803
